step,delay
100,2194.3409511529176
200,8861.36412488092
300,19669.553611808595
400,31971.054697853917
500,47909.34765266338
600,66310.54096981442
700,87246.32029812547
800,111142.5321663901
900,136385.0196972396
1000,166118.7645889476
1100,196954.02552333166
1200,229928.80627926684
1300,271259.49649525166
1400,315452.5890307433
1500,360707.0749411487
1600,390916.20239162
1700,422500.7475760019
1800,454791.2221153717
1900,483869.3342512909
2000,517767.67413051176
2100,550943.208656543
2200,576880.638901059
2300,603616.9157711191
2400,633254.5388074603
2500,671349.3330625441
2600,712004.4019542488
2700,754166.9154337348
2800,790260.6228593244
2900,827921.977892152
3000,867546.9896471166
3100,908910.842668405
3200,955368.8472828484
3300,1000183.453638688
3400,1043290.3321843977
3500,1088641.1416656505
3600,1133615.4315718908
