step,delay
100,2015.4460819141243
200,7783.753759660331
300,16935.85818863934
400,27286.02685429832
500,40096.86243479005
600,55121.78102002244
700,72042.62861237452
800,90833.71685207418
900,111047.42938280223
1000,134479.85836268563
1100,159287.07161267474
1200,185104.22382876946
1300,217374.6847032324
1400,250711.4812628736
1500,284471.79355539824
1600,305780.13529824436
1700,327479.57762704894
1800,349238.7710798111
1900,367723.94165707676
2000,387358.60676450253
2100,407541.04465099395
2200,424194.3650309354
2300,441911.91514863697
2400,460772.2687023421
2500,486123.4713975695
2600,512945.1169753033
2700,540807.7936205581
2800,565795.2149119193
2900,592056.271142034
3000,619091.4505467655
3100,646502.3563513348
3200,675251.147602321
3300,704342.7263451696
3400,733741.1340666716
3500,764506.8933842625
3600,795510.9814194362
