step,delay
100,2024.7484370276716
200,7701.020917420349
300,16694.76203496196
400,26820.51758754638
500,39465.52819799778
600,54342.038999023534
700,71252.0200983472
800,90146.73284834533
900,110599.27869278422
1000,134396.69933816354
1100,159719.4145628429
1200,186328.5601340455
1300,219835.17113264772
1400,254926.15120243424
1500,291031.4033735115
1600,314878.04840293876
1700,339435.2803369293
1800,364239.9372267391
1900,385711.8763779302
2000,408445.77710702986
2100,432492.3949807599
2200,453180.6328035763
2300,474401.8572475777
2400,498020.9215447846
2500,528606.6830743748
2600,559858.1729941953
2700,593634.9314627239
2800,622967.9479936636
2900,652694.1000495561
3000,684648.991889093
3100,717941.8892177632
3200,753107.9942640993
3300,788363.8523120274
3400,823620.7412849505
3500,860086.2128045248
3600,896458.7755488042
