step,delay
100,2145.99596266983
200,8444.239327081672
300,18973.530467847846
400,31571.3202084904
500,47957.455009479505
600,67905.35498636181
700,90866.26584726626
800,117887.75440424065
900,147858.9241881763
1000,182965.6503430889
1100,220015.1727351131
1200,262076.5609366046
1300,314747.2900917264
1400,369808.5241689553
1500,426105.69413098355
1600,468847.3395984366
1700,511474.69835515606
1800,554230.9810502814
1900,597735.4819878748
2000,647420.9629028108
2100,697165.83337356
2200,738267.0964847779
2300,779768.8455546803
2400,824956.6860896719
2500,881105.0601392954
2600,935630.6309674851
2700,998560.5089045753
2800,1052480.5995879455
2900,1109052.7690488617
3000,1169149.8970206326
3100,1232908.1729616593
3200,1301206.5787424447
3300,1368583.2695559517
3400,1438025.3393169811
3500,1510334.9004997523
3600,1581751.58560113
